"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"1","0.000000","host","3.6.0","USB","64","","GET DESCRIPTOR Request DEVICE"
"2","0.000189","3.6.0","host","USB","82","","GET DESCRIPTOR Response DEVICE"
"3","0.000199","host","3.6.0","USB","64","","GET DESCRIPTOR Request CONFIGURATION"
"4","0.000346","3.6.0","host","USB","73","","GET DESCRIPTOR Response CONFIGURATION"
"5","0.000352","host","3.6.0","USB","64","","GET DESCRIPTOR Request CONFIGURATION"
"6","0.000594","3.6.0","host","USB","148","","GET DESCRIPTOR Response CONFIGURATION"
"7","4.780718","host","3.6.0","USBHID","154","0006000000380f030000000010ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff00ffff000000000000000000000000000000000000000000000000002400","SET_REPORT Request"
"8","4.780996","3.6.0","host","USBHID","64","","SET_REPORT Response"
"9","6.936919","host","3.6.0","USBHID","154","001c00000002008400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008600","SET_REPORT Request"
"10","6.937237","3.6.0","host","USBHID","64","","SET_REPORT Response"
"11","6.948724","host","3.6.0","USBHID","64","","GET_REPORT Request"
"12","6.948977","3.6.0","host","USBHID","154","","GET_REPORT Response"
"13","6.955516","host","3.6.0","USBHID","154","001d000000060f0200000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000300","SET_REPORT Request"
"14","6.955776","3.6.0","host","USBHID","64","","SET_REPORT Response"
"15","6.965322","host","3.6.0","USBHID","64","","GET_REPORT Request"
"16","6.965620","3.6.0","host","USBHID","154","","GET_REPORT Response"
"17","7.014292","host","3.6.0","USBHID","154","0007000000380f030000000010fbfb00fbfb00fbfb00fbfb00fbfb00fbfb00fbfb00fbfb00fbfb00fbfb00fbfb00fbfb00fbfb00fbfb00fbfb00fbfb00fbfb000000000000000000000000000000000000000000000000002400","SET_REPORT Request"
"18","7.014555","3.6.0","host","USBHID","64","","SET_REPORT Response"
"19","7.052964","host","3.6.0","USBHID","154","0008000000380f030000000010f8f500f8f500f8f500f7f501f7f501f6f502f5f503f5f602f5f602f5f701f5f800f5f800f5f800f6f700f7f700f8f600f8f6000000000000000000000000000000000000000000000000002400","SET_REPORT Request"
"20","7.053227","3.6.0","host","USBHID","64","","SET_REPORT Response"
"21","7.093448","host","3.6.0","USBHID","154","0009000000380f030000000010f4ee00f4ee00f3ee01f1ee03f0ee04eeee06eeef05eef005eef103eef202eef400eef400eff400f1f100f3f000f4ee00f4ee000000000000000000000000000000000000000000000000003d00","SET_REPORT Request"
"22","7.093729","3.6.0","host","USBHID","64","","SET_REPORT Response"
"23","7.134690","host","3.6.0","USBHID","154","000a000000380f030000000010efe802efe802eee804ebe807e9e808e8e80ae8ea07e8ec06e8ee03e8ef02e8f100eaf000ebef00efeb00f0ea00f1e800f1e8000000000000000000000000000000000000000000000000003f00","SET_REPORT Request"
"24","7.134953","3.6.0","host","USBHID","64","","SET_REPORT Response"
"25","7.174092","host","3.6.0","USBHID","154","000b000000380f030000000010eae205eae205e8e207e4e20be2e20de2e30be2e708e2e906e2ec03e2ee01e2ee00e6eb00e9e900ede400eee200ede201ede2010000000000000000000000000000000000000000000000002700","SET_REPORT Request"
"26","7.174347","3.6.0","host","USBHID","64","","SET_REPORT Response"
"27","7.215403","host","3.6.0","USBHID","154","000c000000380f030000000010e2db09e2db09e0db0cdbdb11dbdb11dbdf0cdbe308dbe506dbea02dbeb00dee900e3e300e6e100ebdb00ebdb00e7db04e7db040000000000000000000000000000000000000000000000002000","SET_REPORT Request"
"28","7.215724","3.6.0","host","USBHID","64","","SET_REPORT Response"
"29","7.257693","host","3.6.0","USBHID","154","000d000000380f030000000010dbd50edbd50ed8d511d5d514d5d711d5dd0cd5e207d5e405d5e800d5e800dce300e3dc00e6d800e8d500e6d502e1d508e1d5080000000000000000000000000000000000000000000000000d00","SET_REPORT Request"
"30","7.257961","3.6.0","host","USBHID","64","","SET_REPORT Response"
"31","7.295969","host","3.6.0","USBHID","154","000e000000380f030000000010d2ce14d2ce14cece17ced114ced411ceda0bcee005cee302cee500d2e200dada00e2d200e5ce00e3ce03dfce06d8ce0dd8ce0d0000000000000000000000000000000000000000000000001100","SET_REPORT Request"
"32","7.296233","3.6.0","host","USBHID","64","","SET_REPORT Response"
"33","7.334722","host","3.6.0","USBHID","154","000f000000380f030000000010c9c91bc9c91bc9c91bc9cf14c9d310c9da0ac9e003c9e300cddf00d2db00dbd200e3c900e3c900dcc907d8c90bd0c913d0c9130000000000000000000000000000000000000000000000002400","SET_REPORT Request"
"34","7.335001","3.6.0","host","USBHID","64","","SET_REPORT Response"
"35","7.377185","host","3.6.0","USBHID","154","0010000000380f030000000010c3c31ec3c31ec3c71ac3ce13c3d20fc3da07c3e100c3e100cdd700d2d200dcc800e1c300ddc304d4c30dd0c311c7c31ac7c31a0000000000000000000000000000000000000000000000000a00","SET_REPORT Request"
"36","7.377568","3.6.0","host","USBHID","64","","SET_REPORT Response"
"37","7.416931","host","3.6.0","USBHID","154","0011000000380f030000000010bdc11dbdc11dbdc519bdcd10bdd20cbdd904bdde00c2d900cdcd00d3c800debd00d9bd04d5bd09cbbd13c6bd18bdbd22bdbd220000000000000000000000000000000000000000000000002100","SET_REPORT Request"
"38","7.417267","3.6.0","host","USBHID","64","","SET_REPORT Response"
"39","7.456179","host","3.6.0","USBHID","154","0012000000380f030000000010b7c01cb7c01cb7c517b7ce0db7d309b7dc00bdd600c4d000d0c400d6bd00dcb700d2b70accb70fc2b71abcb71fb7b725b7b7250000000000000000000000000000000000000000000000003800","SET_REPORT Request"
"40","7.456518","3.6.0","host","USBHID","64","","SET_REPORT Response"
"41","7.496404","host","3.6.0","USBHID","154","0013000000380f030000000010b1c019b1c019b1c514b1cf0ab1d404b1d900becc00c5c500d2b800d9b100d3b105c8b111c2b117b7b122b1b128b1b623b1b6230000000000000000000000000000000000000000000000002e00","SET_REPORT Request"
"42","7.496715","3.6.0","host","USBHID","64","","SET_REPORT Response"
"43","7.535534","host","3.6.0","USBHID","154","0014000000380f030000000010acc216acc216acc710acd105acd700b3cf00c2c200c9ba00d7ac00d7ac00cbac0cbfac19b8ac1facac2cacac2cacb721acb7210000000000000000000000000000000000000000000000003900","SET_REPORT Request"
"44","7.535892","3.6.0","host","USBHID","64","","SET_REPORT Response"
"45","7.574963","host","3.6.0","USBHID","154","0015000000380f030000000010a6c411a6c411a6ca0ba6d500a6d500b6c600c6b600cdae00d5a600cea606c1a614b4a621ada628a6a62fa6ac29a6b81da6b81d0000000000000000000000000000000000000000000000005200","SET_REPORT Request"
"46","7.575343","3.6.0","host","USBHID","64","","SET_REPORT Response"
"47","7.614501","host","3.6.0","USBHID","154","0016000000380f030000000010a0c70ca0c70ca0cc06a0d300a9ca00baba00caa900d3a000cba007c5a00eb6a01da8a02ba0a033a0a72ca0ad26a0ba19a0ba190000000000000000000000000000000000000000000000005200","SET_REPORT Request"
"48","7.614893","3.6.0","host","USBHID","64","","SET_REPORT Response"
"49","7.655138","host","3.6.0","USBHID","154","0017000000380f0300000000109bca069bca069bd100a4c800aec000c0ae00d19b00d19b00c29b0fba9b17ab9b269b9b369b9b369ba9289bb0219bbd149bbd140000000000000000000000000000000000000000000000006400","SET_REPORT Request"
"50","7.655504","3.6.0","host","USBHID","64","","SET_REPORT Response"
"51","7.694465","host","3.6.0","USBHID","154","0018000000380f03000000001096cf0096cf0096cf00a9bc00b3b300c59f00cf9600c69608b79618ae96209e9631969639969d3296ab2496b31c96c10e96c10e0000000000000000000000000000000000000000000000000b00","SET_REPORT Request"
"52","7.694763","3.6.0","host","USBHID","64","","SET_REPORT Response"
"53","7.732971","host","3.6.0","USBHID","154","0019000000380f03000000001091cd0091cd009bc300afaf00baa500cd9100c49108bd9111ab9122a2912b91913d91983591a02d91af1e91b71691c50791c5070000000000000000000000000000000000000000000000005200","SET_REPORT Request"
"54","7.733347","3.6.0","host","USBHID","64","","SET_REPORT Response"
"55","7.773789","host","3.6.0","USBHID","154","001a000000380f03000000001097c10097c100a2b700b7a200c19700cc8c00ba8c12b18c1b9e8c2e958c378c8c408c9c308ca4288cb4188cbc0f8ccc008ccc000000000000000000000000000000000000000000000000005d00","SET_REPORT Request"
"56","7.774097","3.6.0","host","USBHID","64","","SET_REPORT Response"
"57","7.814050","host","3.6.0","USBHID","154","001b000000380f0300000000109db4009db400a9a900be9200ca8700c08709ad871da4872690873a878744878f3b87a02a87a92187b91087c10887ca0087ca000000000000000000000000000000000000000000000000000100","SET_REPORT Request"
"58","7.814361","3.6.0","host","USBHID","64","","SET_REPORT Response"
"59","7.853471","host","3.6.0","USBHID","154","001c000000380f030000000010a6a600a6a600b29a00c98200c98200b48214a1822896823282824782824782943582a62382af1a82c00882c9008ebc008ebc000000000000000000000000000000000000000000000000001100","SET_REPORT Request"
"60","7.853791","3.6.0","host","USBHID","64","","SET_REPORT Response"
"61","7.892819","host","3.6.0","USBHID","154","001d000000380f030000000010af9600af9600ba8900c77d00bc7d0aa77d1f927d35877d3f7d7d4a7d86417d992e7dac1b7db4127dc7007dc70096af0096af000000000000000000000000000000000000000000000000009700","SET_REPORT Request"
"62","7.893135","3.6.0","host","USBHID","64","","SET_REPORT Response"
"63","7.970987","host","3.6.0","USBHID","154","001e000000380f030000000010b88500b88500c67800ba780baf78169a782c83784278784e788244788c3a789f2678b21378bc0978c60085b8009f9f009f9f000000000000000000000000000000000000000000000000008d00","SET_REPORT Request"
"64","7.971412","3.6.0","host","USBHID","64","","SET_REPORT Response"
"65","8.010423","host","3.6.0","USBHID","154","001f000000380f030000000010c57400c57400c57400ad7417a374228b743a74745174745174883d74933274a71e74ba0974c50082b7008faa00aa8f00aa8f00000000000000000000000000000000000000000000000000d400","SET_REPORT Request"
"66","8.010794","3.6.0","host","USBHID","64","","SET_REPORT Response"
"67","8.051303","host","3.6.0","USBHID","154","0000000000380f030000000010c36f00c36f00b76f0ba06f24946f307b6f486f6f546f7a4a6f8f346f9a2a6fae146fc3006fc3008ca7009a9a00b57d00b57d000000000000000000000000000000000000000000000000007500","SET_REPORT Request"
"68","8.051607","3.6.0","host","USBHID","64","","SET_REPORT Response"
"69","8.091658","host","3.6.0","USBHID","154","0001000000380f030000000010b66b0cb66b0ca96b18916b32846b3f6b6b586b764d6b81426b972c6ba2206bb70a6bc2007ab300979700a58800c26b00c26b00000000000000000000000000000000000000000000000000e400","SET_REPORT Request"
"70","8.091961","3.6.0","host","USBHID","64","","SET_REPORT Response"
"71","8.131177","host","3.6.0","USBHID","154","0002000000380f030000000010a76619a766199a662780664173664e66665b667d44668839669f2266aa1666c10075b20085a200a28500b27500c16600c166000000000000000000000000000000000000000000000000007600","SET_REPORT Request"
"72","8.131484","3.6.0","host","USBHID","64","","SET_REPORT Response"
"73","8.171652","host","3.6.0","USBHID","154","0003000000380f0300000000109862289862288b623670625162625f626e5362863b62922f62a91762b50b62c00082a100929200b07200c06200b3620db3620d0000000000000000000000000000000000000000000000005900","SET_REPORT Request"
"74","8.172000","3.6.0","host","USBHID","64","","SET_REPORT Response"
"75","8.211482","host","3.6.0","USBHID","154","0004000000380f030000000010885e38885e387a5e465e5e625e5e625e77495e8f315e9b245eb40b5ec0006faf008f8f009f7f00c05e00c05e00a45e1ba45e1b0000000000000000000000000000000000000000000000007800","SET_REPORT Request"
"76","8.211822","3.6.0","host","USBHID","64","","SET_REPORT Response"
"77","8.251808","host","3.6.0","USBHID","154","0005000000380f030000000010775a48775a48685a575a5a655a66595a803f5a98255aa5195abf005abf007c9d009d7c00ae6b00bf5a00b05a0e945a2b945a2b0000000000000000000000000000000000000000000000006100","SET_REPORT Request"
"78","8.252120","3.6.0","host","USBHID","64","","SET_REPORT Response"
"79","8.291385","host","3.6.0","USBHID","154","0006000000380f03000000001052526c52526c52526c526d51527a4352952852b00d52be0064ab00769900997600be5200be52009f521e8f522e71524d71524d0000000000000000000000000000000000000000000000004e00","SET_REPORT Request"
"80","8.291690","3.6.0","host","USBHID","64","","SET_REPORT Response"
"81","8.369965","host","3.6.0","USBHID","154","0007000000380f0300000000104e4e704e4e704e5c624e78454e86374ea11b4ebe004ebe00749800868600ab6100be4e00ad4e0f8d4e2f7e4e3f5e4e5f5e4e5f000000000000000000000000000000000000000000000000f500","SET_REPORT Request"
"82","8.370274","3.6.0","host","USBHID","64","","SET_REPORT Response"
"83","8.410051","host","3.6.0","USBHID","154","0008000000380f0300000000104b59654b59654b67564b84394b922b4baf0e4bbd005eaa00848400977100bd4b00ad4b109c4b207c4b416b4b524b4b734b4b73000000000000000000000000000000000000000000000000a700","SET_REPORT Request"
"84","8.410353","3.6.0","host","USBHID","64","","SET_REPORT Response"
"85","8.449061","host","3.6.0","USBHID","154","0009000000380f03000000001047645947645947734a47902c479f1d47bd005ba9006f9500956f00a95b00bd47009b47218a47326947545847654747764747760000000000000000000000000000000000000000000000006600","SET_REPORT Request"
"86","8.449364","3.6.0","host","USBHID","64","","SET_REPORT Response"
"87","8.488486","host","3.6.0","USBHID","154","000a000000380f03000000001044714c44714c44813c449e1e44ae0e44bd006c9400818100a85800bd4400ab441188443478444555446844447a44526b44526b0000000000000000000000000000000000000000000000008900","SET_REPORT Request"
"88","8.488799","3.6.0","host","USBHID","64","","SET_REPORT Response"
"89","8.529038","host","3.6.0","USBHID","154","000b000000380f030000000010407d3e407d3e408d2e40ad0f40bd0055a7007d7d00936a00bd4000bd400099402376404763405940407d40407d405f5e405f5e0000000000000000000000000000000000000000000000002200","SET_REPORT Request"
"90","8.529346","3.6.0","host","USBHID","64","","SET_REPORT Response"
"91","8.568726","host","3.6.0","USBHID","154","000c000000380f0300000000103d8c303d8c303d9c1f3dbd003dbd00689200926800a75200bd3d00aa3d12853d37613d5c4f3d6e3d3d813d4c703d6d503d6d500000000000000000000000000000000000000000000000007900","SET_REPORT Request"
"92","8.569064","3.6.0","host","USBHID","64","","SET_REPORT Response"
"93","8.608157","host","3.6.0","USBHID","154","000d000000380f0300000000103a9c203a9c203aad103abd004fa7007b7b00a74f00bd3a00aa3a12973a25723a4b4c3a713a3a843a4a733a5a633a7b423a7b420000000000000000000000000000000000000000000000002900","SET_REPORT Request"
"94","8.608464","3.6.0","host","USBHID","64","","SET_REPORT Response"
"95","8.647715","host","3.6.0","USBHID","154","000e000000380f03000000001036ac1036ac1036bd004da600649000906400bd3600bd360096362682363a5d3661363687363687365865366954368a32368a320000000000000000000000000000000000000000000000004600","SET_REPORT Request"
"96","8.648021","3.6.0","host","USBHID","64","","SET_REPORT Response"
"97","8.686863","host","3.6.0","USBHID","154","000f000000380f03000000001033be0033be0033be00628f00787800a64a00be3300a9331382333b6f334f47337733338b334479336756337845339b22339b22000000000000000000000000000000000000000000000000bf00","SET_REPORT Request"
"98","8.687170","3.6.0","host","USBHID","64","","SET_REPORT Response"
"99","8.726332","host","3.6.0","USBHID","154","0010000000380f03000000001030be0030be0048a6007676008e6000be3000a930149530286c305158306530308e30417c30536a30764730883530ac1130ac11000000000000000000000000000000000000000000000000ac00","SET_REPORT Request"
"100","8.726644","3.6.0","host","USBHID","64","","SET_REPORT Response"
"101","8.777027","host","3.6.0","USBHID","154","0011000000380f0300000000105d8d005d8d00747400a64300bf2b00aa2b157f2b3f6a2b55402b7f2b2b952b3d822b625d2b744a2b9a242bac122bbf002bbf00000000000000000000000000000000000000000000000000aa00","SET_REPORT Request"
"102","8.777382","3.6.0","host","USBHID","64","","SET_REPORT Response"
"103","8.817133","host","3.6.0","USBHID","154","0012000000380f0300000000107373007373008d5b00c02800c0280094282b68285653286d282898282898284e7228734c28863828ac1228c00041a60041a6000000000000000000000000000000000000000000000000008e00","SET_REPORT Request"
"104","8.817446","3.6.0","host","USBHID","64","","SET_REPORT Response"
"105","8.857284","host","3.6.0","USBHID","154","0013000000380f0300000000108c59008c5900a63f00c12500aa25167d254251256f3b258525259c253888255f6125863a25992625c10025c100598c00598c000000000000000000000000000000000000000000000000004b00","SET_REPORT Request"
"106","8.857594","3.6.0","host","USBHID","64","","SET_REPORT Response"
"107","8.897431","host","3.6.0","USBHID","154","0014000000380f030000000010a63d00a63d00c12200aa221694222d66225a39228822229f22368b224a7722714f22992722ad1322c1003da6007171007171000000000000000000000000000000000000000000000000003400","SET_REPORT Request"
"108","8.897770","3.6.0","host","USBHID","64","","SET_REPORT Response"
"109","8.936592","host","3.6.0","USBHID","154","0015000000380f030000000010c22000c22000c2200094202e7c20454e20742020a32020a320497a205c6520853c20ae1320c2003ba700578c008c57008c5700000000000000000000000000000000000000000000000000f400","SET_REPORT Request"
"110","8.936903","3.6.0","host","USBHID","64","","SET_REPORT Response"
"111","8.976799","host","3.6.0","USBHID","154","0016000000380f030000000010c41e00c41e00ab1e177c1e47641e5e351e8e1e1ea61e32911e5b671e70521e9a291ec4001ec400558c00707000a73900a739000000000000000000000000000000000000000000000000005300","SET_REPORT Request"
"112","8.977110","3.6.0","host","USBHID","64","","SET_REPORT Response"
"113","9.017885","host","3.6.0","USBHID","154","0017000000380f030000000010ac1c17ac1c17941c2f631c604c1c791c1ca91c30941c467f1c6f541c843f1caf141cc40038a8006f6f008c5300c41c00c41c000000000000000000000000000000000000000000000000003100","SET_REPORT Request"
"114","9.018190","3.6.0","host","USBHID","64","","SET_REPORT Response"
"115","9.056050","host","3.6.0","USBHID","154","0018000000380f0300000000109419309419307b194a4a197b3219941919ad19448119596c198540199a2a19c60036a900528c008c5200a93600c61900c619000000000000000000000000000000000000000000000000006c00","SET_REPORT Request"
"116","9.056357","3.6.0","host","USBHID","64","","SET_REPORT Response"
"117","9.095684","host","3.6.0","USBHID","154","0019000000380f0300000000107b174b7b174b6217643017971717b0172d9a17586e176e58179b2b17b11517c700518c006e6e00a93400c71700ad1718ad1718000000000000000000000000000000000000000000000000c100","SET_REPORT Request"
"118","9.095990","3.6.0","host","USBHID","64","","SET_REPORT Response"
"119","9.135212","host","3.6.0","USBHID","154","001a000000380f0300000000106115666115664715801515b41515b4154286156e5915854315b21515c90033aa006e6e008c5000c91500c91500951532951532000000000000000000000000000000000000000000000000fd00","SET_REPORT Request"
"120","9.135538","3.6.0","host","USBHID","64","","SET_REPORT Response"
"121","9.174351","host","3.6.0","USBHID","154","001b000000380f0300000000104614834614832d149c1414b7142aa0145772148544149c2d14ca0014ca00508d008d5000ab3200ca1400af14197b144e7b144e0000000000000000000000000000000000000000000000000c00","SET_REPORT Request"
"122","9.174726","3.6.0","host","USBHID","64","","SET_REPORT Response"
"123","9.214302","host","3.6.0","USBHID","154","001c000000380f0300000000102c129f2c129f1212ba1228a312408c126e5d129d2e12b41612cc0030ac006e6e00ac3000cc1200b0121a96123460126a60126a000000000000000000000000000000000000000000000000e100","SET_REPORT Request"
"124","9.214650","3.6.0","host","USBHID","64","","SET_REPORT Response"
"125","9.254625","host","3.6.0","USBHID","154","001d000000380f0300000000101010be1010be1010be103e8e10567610864610b51710cd002fad004e8e008e4e00cd1000cd10009710357b1051451087451087000000000000000000000000000000000000000000000000bf00","SET_REPORT Request"
"126","9.254923","3.6.0","host","USBHID","64","","SET_REPORT Response"
"127","9.292182","host","3.6.0","USBHID","154","001e000000380f0300000000100e0ec10e0ec10e26a90e55780e6e600e9e2f0ecf000ecf004e8e006e6e00ae2e00cf0e00b30e1b7b0e52600e6e2a0ea52a0ea50000000000000000000000000000000000000000000000003900","SET_REPORT Request"
"128","9.292491","3.6.0","host","USBHID","64","","SET_REPORT Response"
"129","9.333207","host","3.6.0","USBHID","154","001f000000380f0300000000100d25ac0d25ac0d3c930d6e620d87490db8170dd1002db0006e6e008f4d00d10d00b40d1b980d37600d70430d8c0d0dc50d0dc50000000000000000000000000000000000000000000000006600","SET_REPORT Request"
"130","9.333572","3.6.0","host","USBHID","64","","SET_REPORT Response"
"131","9.374246","host","3.6.0","USBHID","154","0000000000380f0300000000100b3c960b3c960b557d0b874a0ba1310bd3002cb1004d9000904d00b12c00d30b009a0b387c0b55430b8f280bab0b0bc80b0bc80000000000000000000000000000000000000000000000009e00","SET_REPORT Request"
"132","9.374615","3.6.0","host","USBHID","64","","SET_REPORT Response"
"133","9.414113","host","3.6.0","USBHID","154","0001000000380f0300000000100a557f0a557f0a6e650aa2320abb180ad5004d91006e6e00b22c00d50a00b70a1c7d0a57600a73270aae0a0acb0a23b20a23b20000000000000000000000000000000000000000000000008400","SET_REPORT Request"
"134","9.414436","3.6.0","host","USBHID","64","","SET_REPORT Response"
"135","9.454242","host","3.6.0","USBHID","154","0002000000380f030000000010096f67096f6709894d09bd1909d7002bb4006f6f00924d00d70900d709009c093a6009754209940909cf0909cf093b9b093b9b000000000000000000000000000000000000000000000000b600","SET_REPORT Request"
"136","9.454571","3.6.0","host","USBHID","64","","SET_REPORT Response"
"137","9.495930","host","3.6.0","USBHID","154","0003000000380f030000000010078a4e078a4e07a43407d90007d9004d9300934d00b62900d90700bb071d7e075a4207962507b40707d20721b80755830755830000000000000000000000000000000000000000000000007900","SET_REPORT Request"
"138","9.496227","3.6.0","host","USBHID","64","","SET_REPORT Response"
"139","9.535670","host","3.6.0","USBHID","154","0004000000380f03000000001006a63406a63406c11a06dc0029b700707000b72900dc0600bd061e9e063c6106792506b70606d60620bb063aa006706a06706a000000000000000000000000000000000000000000000000a500","SET_REPORT Request"
"140","9.535942","3.6.0","host","USBHID","64","","SET_REPORT Response"
"141","9.575604","host","3.6.0","USBHID","154","0005000000380f03000000001005c31a05c31a05de0028b9004d9600964d00de0500de0500a0053d80055d42059b0505d90505d9053aa2055687058c51058c51000000000000000000000000000000000000000000000000bb00","SET_REPORT Request"
"142","9.575917","3.6.0","host","USBHID","64","","SET_REPORT Response"
"143","9.617174","host","3.6.0","USBHID","154","0006000000380f03000000001005e00005e00005e0004d9700727200bb2800e00500c0051f81055e62057d2305bc0505dc051ec105568905726e05a93605a9360000000000000000000000000000000000000000000000002800","SET_REPORT Request"
"144","9.617479","3.6.0","host","USBHID","64","","SET_REPORT Response"
"145","9.657057","host","3.6.0","USBHID","154","0007000000380f03000000001004e30004e30028bd00727200984e00e30400c3041fa3043f63047f4204a00404e0041ec4043aa804726f048f5304c71b04c71b0000000000000000000000000000000000000000000000005700","SET_REPORT Request"
"146","9.657412","3.6.0","host","USBHID","64","","SET_REPORT Response"
"147","9.696388","host","3.6.0","USBHID","154","0008000000380f03000000001027bf0027bf004e9a009a4e00bf2700e60300a503408303614203a22203c20303e3033aaa03578e03905403ad3803e60003e600000000000000000000000000000000000000000000000000a500","SET_REPORT Request"
"148","9.696698","3.6.0","host","USBHID","64","","SET_REPORT Response"
"149","9.736971","host","3.6.0","USBHID","154","0009000000380f0300000000104e9b004e9b00757500c22700e90200c702208502626402832202c50202e7021dca02579002757302af3902cc1c02e90002e9000000000000000000000000000000000000000000000000009f00","SET_REPORT Request"
"150","9.737298","3.6.0","host","USBHID","64","","SET_REPORT Response"
"151","9.776846","host","3.6.0","USBHID","154","000a000000380f0300000000107676007676009d4f00eb0200eb0200a802426502854302a70202ea0202ea023baf02767402935702ce1c02eb0027c40027c4000000000000000000000000000000000000000000000000007300","SET_REPORT Request"
"152","9.777148","3.6.0","host","USBHID","64","","SET_REPORT Response"
"153","9.855541","host","3.6.0","USBHID","154","000b000000380f030000000010c92800c92800f10100ce0122ac01446701892201ce0101f1011dd3013cb401787801b53b01d31d01f10028c9007878007878000000000000000000000000000000000000000000000000003500","SET_REPORT Request"
"154","9.855837","3.6.0","host","USBHID","64","","SET_REPORT Response"
"155","9.897737","host","3.6.0","USBHID","154","000c000000380f030000000010f50100f50100f50100ae01458b01684501ae0101f40101f4013cb7015b9801985b01d61d01f50028cb0051a300a35100a351000000000000000000000000000000000000000000000000009700","SET_REPORT Request"
"156","9.898017","3.6.0","host","USBHID","64","","SET_REPORT Response"
"157","9.935848","host","3.6.0","USBHID","154","000d000000380f030000000010f80100f80100d401238d016a6a018d2301d40101f8011ed9015c9a017b7b01b93d01f80001f80052a5007b7b00ce2800ce2800000000000000000000000000000000000000000000000000ae00","SET_REPORT Request"
"158","9.936183","3.6.0","host","USBHID","64","","SET_REPORT Response"
"159","9.975694","host","3.6.0","USBHID","154","000e000000380f030000000010da0024da0024b600486d00914800b60000ff001fdf003fbf007f7f009f5f00df1f00ff002ad4007f7f00aa5500ff0000ff00000000000000000000000000000000000000000000000000009900","SET_REPORT Request"
"160","9.976059","3.6.0","host","USBHID","64","","SET_REPORT Response"
"161","10.016350","host","3.6.0","USBHID","154","000f000000380f030000000010b60048b6004891006d4800b62400da0000ff003fbf005f9f009f5f00bf3f00ff002ad40055aa00aa5500d42a00ff0000ff0000000000000000000000000000000000000000000000000000d800","SET_REPORT Request"
"162","10.016667","3.6.0","host","USBHID","64","","SET_REPORT Response"
"163","10.056252","host","3.6.0","USBHID","154","0010000000380f03000000001091006d91006d6d00912400da0000ff001fdf005f9f007f7f00bf3f00df1f00ff0055aa007f7f00d42a00ff0000da0024da00240000000000000000000000000000000000000000000000009800","SET_REPORT Request"
"164","10.056558","3.6.0","host","USBHID","64","","SET_REPORT Response"
"165","10.096091","host","3.6.0","USBHID","154","0011000000380f0300000000106d00916d00914800b60000ff0000ff003fbf007f7f009f5f00df1f00ff002ad4007f7f00aa5500ff0000ff0000b60048b60048000000000000000000000000000000000000000000000000a400","SET_REPORT Request"
"166","10.096398","3.6.0","host","USBHID","64","","SET_REPORT Response"
"167","10.135893","host","3.6.0","USBHID","154","0012000000380f0300000000104800b64800b62400da0000ff001fdf005f9f009f5f00bf3f00ff0000ff0055aa00aa5500d42a00ff0000da002491006d91006d0000000000000000000000000000000000000000000000009a00","SET_REPORT Request"
"168","10.136264","3.6.0","host","USBHID","64","","SET_REPORT Response"
"169","10.176026","host","3.6.0","USBHID","154","0013000000380f0300000000102400da2400da0000ff001fdf003fbf007f7f00bf3f00df1f00ff002ad4007f7f00d42a00ff0000da0024b600486d00916d0091000000000000000000000000000000000000000000000000db00","SET_REPORT Request"
"170","10.176403","3.6.0","host","USBHID","64","","SET_REPORT Response"
"171","10.215531","host","3.6.0","USBHID","154","0014000000380f0300000000100000ff0000ff0000ff003fbf005f9f009f5f00df1f00ff002ad40055aa00aa5500ff0000ff0000b6004891006d4800b64800b60000000000000000000000000000000000000000000000009800","SET_REPORT Request"
"172","10.215918","3.6.0","host","USBHID","64","","SET_REPORT Response"
"173","10.254018","host","3.6.0","USBHID","154","0015000000380f0300000000100000ff0000ff001fdf005f9f007f7f00bf3f00ff0000ff0055aa007f7f00d42a00ff0000da002491006d6d00912400da2400da000000000000000000000000000000000000000000000000a400","SET_REPORT Request"
"174","10.254374","3.6.0","host","USBHID","64","","SET_REPORT Response"
"175","10.293030","host","3.6.0","USBHID","154","0016000000380f030000000010001fdf001fdf003fbf007f7f009f5f00df1f00ff002ad4007f7f00aa5500ff0000da0024b600486d00914800b60000ff0000ff000000000000000000000000000000000000000000000000a700","SET_REPORT Request"
"176","10.293319","3.6.0","host","USBHID","64","","SET_REPORT Response"
"177","10.334062","host","3.6.0","USBHID","154","0017000000380f030000000010003fbf003fbf005f9f009f5f00bf3f00ff002ad40055aa00aa5500d42a00ff0000b6004891006d4800b62400da0000ff0000ff000000000000000000000000000000000000000000000000a600","SET_REPORT Request"
"178","10.334318","3.6.0","host","USBHID","64","","SET_REPORT Response"
"179","10.373680","host","3.6.0","USBHID","154","0018000000380f030000000010005f9f005f9f007f7f00bf3f00df1f00ff0055aa007f7f00d42a00ff0000da002491006d6d00912400da0000ff001fdf001fdf0000000000000000000000000000000000000000000000009a00","SET_REPORT Request"
"180","10.374070","3.6.0","host","USBHID","64","","SET_REPORT Response"
